id,label,name,attributes
Babbularista,Formulation,Babbularista,"{""dosage"": ""15 – 30 ml orally with equal amount of water after meals twice a day."", ""preparation_method"": """"}"
Bahushala Guda,Formulation,Bahushala Guda,"{""dosage"": ""30 gm"", ""preparation_method"": """"}"
Bala Curna,Formulation,Bala Curna,"{""dosage"": ""3-5 gm"", ""preparation_method"": """"}"
Bala Ghrta,Formulation,Bala Ghrta,"{""dosage"": ""5 gm"", ""preparation_method"": """"}"
Bala Taila,Formulation,Bala Taila,"{""dosage"": ""5-10 ml per day in divided doses; for external use as advised by the physician"", ""preparation_method"": """"}"
Balacaturbhadrika Curna,Formulation,Balacaturbhadrika Curna,"{""dosage"": ""0.5 to 1 g daily in divided dose."", ""preparation_method"": """"}"
Baladhatryadi taila,Formulation,Baladhatryadi taila,"{""dosage"": ""15 drops used externally for Abhyanga and Nasya."", ""preparation_method"": """"}"
Balaguducyadi taila,Formulation,Balaguducyadi taila,"{""dosage"": ""Taila"", ""preparation_method"": """"}"
Balahathadi Taila,Formulation,Balahathadi Taila,"{""dosage"": ""External application for Shiro-abhyanga"", ""preparation_method"": """"}"
Balajirakadi kwatha churna,Formulation,Balajirakadi kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Balarista,Formulation,Balarista,"{""dosage"": ""15 – 30 ml orally with equal amount of water after meals twice a day."", ""preparation_method"": """"}"
Balarka rasa,Formulation,Balarka rasa,"{""dosage"": ""125 mg"", ""preparation_method"": """"}"
Balasvagandhalaksadi taila,Formulation,Balasvagandhalaksadi taila,"{""dosage"": ""Taila"", ""preparation_method"": """"}"
Barihat Kasturi Bhairava Rasa,Formulation,Barihat Kasturi Bhairava Rasa,"{""dosage"": ""125 mg"", ""preparation_method"": """"}"
Bhagottara Gutika,Formulation,Bhagottara Gutika,"{""dosage"": ""2 Tab"", ""preparation_method"": """"}"
Bhallataka rasayana,Formulation,Bhallataka rasayana,"{""dosage"": ""1/2 to 1 g"", ""preparation_method"": """"}"
Bhallataka sodhana,Formulation,Bhallataka sodhana,"{""dosage"": ""Sodhana"", ""preparation_method"": """"}"
Bhallatakadi Modaka,Formulation,Bhallatakadi Modaka,"{""dosage"": ""2 to 5 g daily in divided doses."", ""preparation_method"": """"}"
Bharangi,Formulation,Bharangi,"{""dosage"": ""1 gm"", ""preparation_method"": """"}"
Bharangi guna,Formulation,Bharangi guna,"{""dosage"": ""1 Haritaki and 6 g of Lehya or 12 g of Lehya"", ""preparation_method"": """"}"
Bharangyadi Avaleha,Formulation,Bharangyadi Avaleha,"{""dosage"": ""10 gm"", ""preparation_method"": """"}"
Bharangyadi Kwatha,Formulation,Bharangyadi Kwatha,"{""dosage"": ""60 ml"", ""preparation_method"": """"}"
Bharngyadi kwatha churna,Formulation,Bharngyadi kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Bhaskara lavana churna,Formulation,Bhaskara lavana churna,"{""dosage"": ""3g"", ""preparation_method"": """"}"
Bhaskaralavana Curna,Formulation,Bhaskaralavana Curna,"{""dosage"": ""2-5 g in divided doses."", ""preparation_method"": """"}"
Bhrngamalakadi taila,Formulation,Bhrngamalakadi taila,"{""dosage"": ""Taila"", ""preparation_method"": """"}"
Bhrngaraja Taila,Formulation,Bhrngaraja Taila,"{""dosage"": ""External application over the scalp for Shiro-Abhyanga"", ""preparation_method"": """"}"
Bhumyamalaki,Formulation,Bhumyamalaki,"{""dosage"": ""3-6 gm; 3-6 gm/ 10-20 ml"", ""preparation_method"": """"}"
Bhunimbadi Kwatha,Formulation,Bhunimbadi Kwatha,"{""dosage"": ""12–24 ml; 20-40 ml"", ""preparation_method"": """"}"
Bhuvaneshwara vati,Formulation,Bhuvaneshwara vati,"{""dosage"": ""2g"", ""preparation_method"": """"}"
Bibhitaki Choorna,Formulation,Bibhitaki Choorna,"{""dosage"": ""2 gm"", ""preparation_method"": """"}"
Bibhitaki Kwatha,Formulation,Bibhitaki Kwatha,"{""dosage"": ""20 - 40 ml"", ""preparation_method"": """"}"
Bilvadi Leha,Formulation,Bilvadi Leha,"{""dosage"": ""6 g to be licked up 2 to 3 times in small quantities each time."", ""preparation_method"": """"}"
Bilvadi gutika,Formulation,Bilvadi gutika,"{""dosage"": ""1-2 Vati"", ""preparation_method"": """"}"
Bilwamoola Curna,Formulation,Bilwamoola Curna,"{""dosage"": ""1-2 gm"", ""preparation_method"": """"}"
Bola Parpati,Formulation,Bola Parpati,"{""dosage"": ""125-250 mg"", ""preparation_method"": """"}"
Boladi vati,Formulation,Boladi vati,"{""dosage"": ""150-500mg"", ""preparation_method"": """"}"
Brahma rasayana,Formulation,Brahma rasayana,"{""dosage"": ""12 g"", ""preparation_method"": """"}"
Brahmi,Formulation,Brahmi,"{""dosage"": ""3-5gm; 3-6 gm; 5-2 gm; 10-20 gm; 10-30 ml; 15-30 gm"", ""preparation_method"": """"}"
Brahmi Arka,Formulation,Brahmi Arka,"{""dosage"": ""10 to 20 ml per day in divided doses"", ""preparation_method"": """"}"
Brahmi Ghrta,Formulation,Brahmi Ghrta,"{""dosage"": ""12 to 24 g daily in divided doses."", ""preparation_method"": """"}"
Brahmi vati,Formulation,Brahmi vati,"{""dosage"": ""125 to 250 mg"", ""preparation_method"": """"}"
Brahmidrakshadi Kwatha,Formulation,Brahmidrakshadi Kwatha,"{""dosage"": ""12-24 ml"", ""preparation_method"": """"}"
Brhanmanjisthadi kwatha churna,Formulation,Brhanmanjisthadi kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Brhat Saindhavadya Taila,Formulation,Brhat Saindhavadya Taila,"{""dosage"": ""5 ml per day in divided doses; also used for Abhyanga and Basti"", ""preparation_method"": """"}"
Brhat chandodaya makaradhvaja (purna chandrodaya rasa),Formulation,Brhat chandodaya makaradhvaja (purna chandrodaya rasa),"{""dosage"": ""125 mg to 250 mg"", ""preparation_method"": """"}"
Brhat guduci taila,Formulation,Brhat guduci taila,"{""dosage"": ""12 g"", ""preparation_method"": """"}"
Brhat phala ghrita,Formulation,Brhat phala ghrita,"{""dosage"": ""12 g"", ""preparation_method"": """"}"
Brhat purnachandra rasa,Formulation,Brhat purnachandra rasa,"{""dosage"": ""250 mg"", ""preparation_method"": """"}"
